@T,climate,,,,,,,,,,,,,
description,Synchronized storm breakpoint data,,,,,,,,,,,,,
missing_value,-9999,,,,,,,,,,,,,
date_format,uuuu-MM-dd HH:mm:ss,,,,,,,,,,,,,
date_start,1/2/2021 16:00,,,,,,,,,,,,,
date_end,12/31/2022 16:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,time,B_BenCulv,B_OldFlowers,B_SaltCabin,B_ME,B_MM,B_MW,B_UE,MRMS_17,MRMS_18,MRMS_41,MRMS_44,MRMS_73,MRMS_8
,2/6/2021 9:00,0,0,0,0,0,0,0,0,0,0.037394438,0,0.19273428,0
,2/6/2021 10:00,0,0,0,0,0,0,0,0,0,0.01234722,0,0.041157407,0
,2/6/2021 11:00,0,0,0,0,0,0,0,0,0,0.128411142,0,0.2621139,0
,2/6/2021 12:00,0,0,0,0,0,0,0,0.124177777,0.095602771,0.162277787,0.02116667,0.329141677,0.022577783
,2/6/2021 13:00,0,0,0,0,0,0,0,0.06314723,0.068791664,0.172508355,0.027163892,0.601838908,0.031750004
,2/6/2021 14:00,0,0,0,0,0,0,0,0.159455571,0.100188904,0.226130586,0.200025012,0.820561133,0.068086113
,2/6/2021 15:00,0,0,0,0,0,0,0,0.214136142,0.168980557,0.232480589,0.207786145,0.581025027,0.137936121
,2/6/2021 16:00,0,0,0,0,0,0,0,0.178505587,0.138288879,0.212372231,0.146050019,0.492830627,0.110066683
,2/6/2021 17:00,0,0,0,0,0,0,0,0.172508371,0.11994443,0.218722249,0.200025028,0.601133375,0.109008328
,2/6/2021 18:00,0,0,0,0,0,0,0,0.173213926,0.11994443,0.204611119,0.188030579,0.40005001,0.102658335
,2/6/2021 19:00,0,0,0,0,0,0,0,0.167922244,0.124530551,0.223308351,0.219075011,0.259291661,0.108655566
,2/6/2021 20:00,0,0,0,0,0,0,0,0.185208359,0.13934722,0.277988926,0.283280588,0.632177813,0.103011126
,2/6/2021 21:00,0,0,0,0,0,0,0,0.219427798,0.154869457,0.287161143,0.250472256,0.697088905,0.132291663
,2/6/2021 22:00,0,0,0,0,0,0,0,0.250119476,0.171450011,0.37429726,0.30973892,0.791633367,0.14040555
,2/6/2021 23:00,0,0,0,0,0,0,0,0.363008325,0.28575003,0.397580569,0.352072242,0.954969486,0.232127788
,2/7/2021 0:00,0,0,0,0,0,0,0,0.279752793,0.232127791,0.405694469,0.321733342,0.798688957,0.240241681
,2/7/2021 1:00,0,0,0,0,0,0,0,0.377472251,0.357363934,0.445205604,0.353836136,0.784225059,0.3700639
,2/7/2021 2:00,0,0,0,0,0,0,0,0.473780549,0.457905618,0.546805564,0.726722244,0.873830617,0.436033357
,2/7/2021 3:00,0,0,0,0,0,0,0,0.335844452,0.25576391,0.478719454,0.29986112,0.858661165,0.24376948
,2/7/2021 4:00,0,0,0,0,0,0,0,0.185561122,0.121355575,0.354188908,0.095955559,0.777875019,0.120650002
,2/7/2021 5:00,0,0,0,0,0,0,0,0.143580571,0.087136113,0.367947266,0.198613897,0.705908366,0.041627772
,2/7/2021 6:00,0,0,0,0,0,0,0,0.136525006,0.125236112,0.228600037,0.182386124,0.288572242,0.065616668
,2/7/2021 7:00,0,0,0,0,0,0,0,0.239183352,0.170391686,0.273050018,0.21872226,0.466725032,0.155222235
,2/7/2021 8:00,0,0,0,0,0,0,0,0.066675004,0.033513885,0.080433336,0,0.317852803,0.021166663
,2/8/2021 1:00,0,0,0,0,0,0,0,0.011288892,0,0,0,0,0
,2/9/2021 2:00,0,0,0,0,0,0,0,0,0,0,0,0.32032222,0
,2/9/2021 6:00,0,0,0,0,0,0,0,0,0,0.362302813,0.035277778,0,0
,2/9/2021 7:00,0,0,0,0,0,0,0,0,0,0.245886128,0,0,0
,2/9/2021 9:00,0,0,0,0,0,0,0,0,0,0.30056669,0,0,0
,2/9/2021 12:00,0,0,0,0,0,0,0,0,0,0,0,0.300566672,0
,2/9/2021 13:00,0,0,0,0,0,0,0,0,0,0,0,0.228600001,0
,2/9/2021 14:00,0,0,0,0,0,0,0,0,0,0.042333326,0,0.128763884,0
,2/9/2021 15:00,0,0,0,0,0,0,0,0,0,0.05891388,0,0.436033341,0
,2/9/2021 16:00,0,0,0,0,0,0,0,0,0,0.077963882,0.002822223,0.663222243,0
,2/9/2021 17:00,0,0,0,0,0,0,0,0,0,0.051858324,0.01975556,0.38593893,0
,2/9/2021 18:00,0,0,0,0,0,0,0,0,0,0.007408332,0,0.349602791,0
,2/9/2021 19:00,0,0,0,0,0,0,0,0,0,0.026458329,0,0.52634448,0
,2/9/2021 20:00,0,0,0,0,0,0,0,0.021166663,0.015522225,0.135819462,0.090311102,0.512938918,0.021166663
,2/9/2021 21:00,0,0,0,0,0,0,0,0.093133339,0.019755561,0.149224999,0.10865556,0.611716715,0.016933334
,2/9/2021 22:00,0,0,0,0,0,0,0,0,0.021166663,0.032808328,0.043744443,0.458611128,0
,2/9/2021 23:00,0,0,0,0,0,0,0,0.022577783,0,0.140758343,0,0.16016111,0
,2/10/2021 0:00,0,0,0,0,0,0,0,0,0,0.039863891,0,0.144286108,0
,2/10/2021 1:00,0,0,0,0,0,0,0,0,0,0,0,0.271286118,0
,2/10/2021 4:00,0,0,0,0,0,0,0,0,0,0,0,0.239888896,0
,2/10/2021 10:00,0,0,0,0,0,0,0,0,0.002822223,0,0,0,0.011288892
,2/10/2021 11:00,0,0,0,0,0,0,0,0.028222229,0.021166663,0.045155567,0,0,0.021166663
,2/10/2021 12:00,0,0,0,0,0,0,0,0.021166663,0.042333326,0.049388892,0,0.500944438,0.021166663
