@T,temporal_additional,,,,,,,,,,,,,,,,,,,,,,,,
name,temporal_additional.csv,,,,,,,,,,,,,,,,,,,,,,,,
description,additional temporal parameters,,,,,,,,,,,,,,,,,,,,,,,,
context-type,temporal,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
unit,m3/s,,,,,,,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,,,,,,,,
date_start,1/2/2021 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_end,12/31/2022 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
@H,date,enableSubDaily,B_ME,B_MM,B_MW,B_UE,B_UW,MRMS_12,MRMS_13,MRMS_17,MRMS_18,,MRMS_11,,MRMS_16,,,MRMS_19,MRMS_21,MRMS_22,MRMS_23,MRMS_27,MRMS_28,MRMS_32,MRMS_33
,8/27/2021 16:00,,0,0,0,0,0,0,0,0,0,,0,,0.019050005,,,0,0,0,0,0,0,0,0
,9/1/2021 12:00,,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0.034925008,0.001411111,0,0.001411111,0,0.001763889,0.001411111
,9/1/2021 13:00,,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0.011641665,0.00987778,0,0.00987778,0,0.020813888,0.018344445
,9/1/2021 14:00,,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0.036688893,0,0,0,0,0,0
,9/1/2021 15:00,,0,0,0,0,0,0.025399996,0.012347225,0.025400003,0.015522222,,0.028222222,,0.016933331,,,0.009524998,0.124530565,0.012700001,0.022577777,0.012700001,0.02257778,0,0.009877778
,9/1/2021 16:00,,0,0,0,0,0,0.265641688,0.315383365,0.308327798,0.324555579,,0.279752795,,0.291041678,,,0.329141686,0.400050017,0.304094469,0.292100009,0.289630574,0.293511129,0.253294461,0.309738907
,9/1/2021 17:00,,1.5,0,0.6,0,1.5,1.138413906,0.995186141,1.363486141,0.976841688,,1.392766708,,1.473905585,,,1.054805593,1.423105587,1.47955004,1.16875281,1.448858379,1.253419494,1.376538924,1.249538968
,9/1/2021 18:00,,1.2,0,1,0,1.3,0.603955562,0.63641114,0.700969486,0.65087503,,0.60783613,,0.621241685,,,0.837847268,0.720372256,0.769055586,0.680508347,0.733777808,0.706966704,0.704144462,0.729544486
,9/1/2021 19:00,,0,0,0.2,0,0.2,0.022577776,0.06985,0.102305564,0.067027781,,0.016933337,,0,,,0.070202785,0.103363898,0.007055556,0.089605559,0.007055556,0.073025004,0.029633335,0.025400006
,9/1/2021 23:00,,0.3,0,0,0,0.3,0.270933351,0.244122239,0.230011134,0.242711122,,0.25541113,,0.246944464,,,0.287866682,0.335844474,0.217311119,0.228600024,0.221544448,0.330200015,0.218722229,0.289277791
,9/2/2021 0:00,,0.6,0,0.6,0,0.6,0.105480565,0.119238896,0.23106947,0.127705568,,0.207080563,,0.227894458,,,0.312208344,0.341841695,0.222955563,0.219427793,0.227188892,0.352425021,0.337255575,0.3496028
,9/2/2021 1:00,,0.6,0,0.3,0,0.3,0.264936114,0.196144456,0.194380574,0.203200016,,0.225425013,,0.218722217,,,0.236713907,0.205669441,0.20320001,0.192616676,0.20320001,0.171802786,0.138994459,0.15557501
,9/2/2021 2:00,,0,0,0,0,0.3,0,0,0,0,,0.047977786,,0.066322223,,,0,0.060677783,0,0,0,0,0,0
,9/2/2021 3:00,,0,0,0.3,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,9/2/2021 16:00,,0,0,0.2,0,0.2,0.013405559,0.039863896,0.029633334,0.041275006,,0.015169446,,0.004233334,,,0.08078611,0.038805564,0.037041672,0.034572228,0.038452781,0.111125003,0.163688894,0.164394454
,9/2/2021 17:00,,2.4,0,1.9,0,1.3,1.106311142,1.53352504,1.393119472,1.505655628,,1.161697264,,1.122186151,,,1.314802812,1.179336155,1.404055583,1.392766715,1.404055583,1.30104446,1.679927846,1.391355592
,9/2/2021 18:00,,0.3,0,0,0,0,0.579261133,0.461433361,0.451202807,0.413102814,,0.52493336,,0.473780584,,,0.37394448,0.449791678,0.387702791,0.404283357,0.390525024,0.303741686,0.308327785,0.2970389
,9/2/2021 19:00,,0,0,0.3,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,9/2/2021 23:00,,0,0,0,0,0.3,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,9/3/2021 10:00,,2.1,0,2.4,0,3,0.499886134,0.824441669,1.507419506,0.841022224,,0.601133349,,0.656519449,,,0.85231113,0.861483346,2.174875041,1.662994497,2.177697247,1.601611144,3.601861161,2.206272275
