# hrus.csv created Fri, 16 Jun 2023, 18:14:47 called by HRU-delin
@T,hrus,
name,hrus.csv,
descr,hrus input parameter file,
,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,subcatch,
min,0,-180,-90,0,0,0,0,0,0,0,0,0,0,
max,9999,180,90,10000,9999999999,3,90,360,999999,9999,9999,9999,99999,
unit,n/a,longitude,latitude,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,n/a,
,249,-105.55398661,40.65588915,2507,23300,1,20.687,88,0,0,3,0,18,,
,250,-105.54611744,40.65543311,2440,58700,1,15.682,72,0,0,4,0,20,,
,251,-105.53917063,40.65382606,2406,124400,1,13.21,89,0,1,3,0,21,,
,252,-105.64382737,40.65414112,2970,253900,1,7.362,0,0,0,1,0,13,,
,253,-105.58728484,40.65510041,2613,62900,1,11.825,87,0,1,3,0,16,,
,254,-105.5850662,40.653642,2631,47400,1,10.064,-8,0,1,3,0,15,,
,255,-105.53131677,40.65446936,2346,52300,1,12.708,270,0,1,2,0,11,,
,256,-105.52580565,40.65458636,2334,44300,1,10.45,74,0,0,1,0,22,,
,257,-105.58201598,40.6547375,2598,22200,1,8.981,-41,0,0,3,0,15,,
,258,-105.57595047,40.65498448,2554,39900,1,14.774,115,0,1,3,0,15,,
,259,-105.56343755,40.6534328,2570,63500,1,12.732,202,0,0,3,0,23,,
,260,-105.56721493,40.649657,2667,501200,1,14.372,58,0,1,3,0,23,,
,261,-105.54368008,40.65376134,2431,40700,1,14.097,-37,0,1,3,0,21,,
,262,-105.60282615,40.65367052,2811,67100,1,20.012,294,0,0,2,0,16,,
,263,-105.59942144,40.65380552,2761,41800,1,16.091,306,0,0,2,0,16,,
,264,-105.54273818,40.65318478,2426,34300,1,19.114,89,0,1,4,0,21,,
,265,-105.63463168,40.65330234,2939,66200,1,7.408,44,0,0,1,0,19,,
,266,-105.63348297,40.65231592,2938,84000,1,8.576,64,0,0,1,0,19,,
,267,-105.62726948,40.65496702,2889,64900,1,17.455,100,0,0,1,0,19,,
,268,-105.52824001,40.65298969,2351,43300,1,11.431,-26,0,0,2,0,25,,
,269,-105.5149868,40.65246255,2439,23500,1,10.699,113,0,0,15,0,22,,
,270,-105.57240132,40.653604,2624,62700,1,13.179,119,0,1,3,0,15,,
,271,-105.57017793,40.65335327,2626,20700,1,7.765,-8,0,0,2,0,23,,
,272,-105.53037186,40.65370273,2353,53500,1,15.86,80,0,0,3,0,11,,
,273,-105.65001584,40.65441125,3077,73600,1,22.027,-35,0,0,2,0,13,,
,274,-105.58876638,40.6538254,2639,90300,1,13.788,102,0,1,3,0,16,,
,275,-105.59238769,40.65273105,2647,29700,1,17.108,123,0,1,3,0,16,,
,276,-105.53692591,40.65149766,2412,153600,1,14.195,0,0,1,3,0,24,,
,277,-105.53614463,40.65327281,2389,33100,1,10.043,37,0,1,3,0,11,,
,278,-105.58251981,40.65299313,2606,35100,1,11.455,52,0,0,3,0,15,,
,279,-105.60043086,40.65210076,2735,44100,1,12.956,299,0,0,2,0,16,,
,280,-105.65306849,40.65165796,3096,130300,1,13.787,0,0,0,2,0,13,,
,281,-105.51980232,40.65339079,2378,26400,1,21.154,68,0,0,15,0,22,,
,282,-105.60727983,40.65282551,2854,48600,1,9.826,314,0,1,2,0,16,,
,283,-105.57919787,40.65206576,2616,43900,1,16.756,73,0,1,3,0,15,,
,284,-105.57688875,40.65292775,2605,45100,1,15.037,116,0,1,3,0,15,,
,285,-105.52578718,40.65245435,2373,26500,1,11.546,203,0,0,1,0,25,,
,286,-105.51653343,40.65317348,2422,69800,1,16.577,181,0,0,15,0,22,,
,287,-105.54813065,40.65278966,2509,46800,1,13.813,0,0,0,3,0,21,,
,288,-105.53192416,40.6511449,2390,60700,1,8.121,77,0,0,3,0,25,,
,289,-105.60368463,40.65237021,2788,42100,1,15.989,306,0,1,3,0,16,,
,290,-105.58767273,40.65109928,2694,57000,1,11.139,67,0,1,3,0,15,,
,291,-105.58400709,40.65147225,2634,65000,1,14.125,-13,0,1,3,0,15,,
,292,-105.62319837,40.65269172,2938,90000,1,13.937,27,0,0,2,0,9,,
,293,-105.61284657,40.65061181,2910,82700,1,15.079,-11,0,1,2,0,16,,
,294,-105.54821021,40.65211901,2498,26400,1,24.017,-33,0,0,2,0,21,,
,295,-105.64263938,40.65321416,2962,20400,1,7.431,60,0,0,1,0,13,,
,296,-105.58723,40.64928487,2687,141500,1,15.121,-37,0,1,3,0,15,,
,297,-105.57404683,40.65187845,2655,24200,1,10.664,116,0,1,3,0,15,,
,298,-105.57151496,40.6515469,2656,41900,1,7.447,49,0,0,3,0,23,,
,299,-105.54473494,40.65158828,2486,104000,1,22.042,75,0,1,3,0,21,,
,300,-105.59539484,40.64975693,2712,342300,1,14.645,95,0,1,3,0,16,,
,301,-105.5776655,40.64988054,2680,232800,1,15.653,98,0,1,3,0,15,,
,302,-105.51795326,40.6511537,2429,54100,1,14.856,9,0,0,15,0,22,,
,303,-105.53370463,40.65208247,2379,22700,1,12.957,73,0,0,3,0,24,,
